Australia,Canberra,National Library of Australia,https://gitlab.com/nla
Canada,Vancouver (BC),BC Libraries Cooperative,https://gitlab.com/BCLibCoop
Czech Republic,Prague,National Library of Technology,https://gitlab.com/techlib
Germany,Berlin,Universitätsbibliothek Technische Universität Berlin,https://gitlab.com/tuub
Germany,Bremen,Staats- und Universitätsbibliothek Bremen,https://gitlab.com/suub
Germany,Göttingen,Gemeinsamer Bibliotheksverbund (GBV Göttingen),https://gitlab.com/gbv
Germany,Hannover,Technische Informationsbibliothek (TIB),https://gitlab.com/TIBHannover
India,Kolkata,National Virtual Library of India,https://gitlab.com/NVLI
Norway,Bergen,University of Bergen Library,https://gitlab.com/ubbdst
Norway,Oslo,University of Oslo Library,https://gitlab.com/uio-library
Switzerland,Basel,Information services for Swiss university libraries and Swiss National Library,https://gitlab.com/swissbib
US,Ann Arbor (MI),Ann Arbor District Library,https://gitlab.com/aadl
US,Evanston (IL),Northwestern University Libraries,https://gitlab.com/nulib
US,New York (NY),New York Public Library,https://gitlab.com/nypl
US,Princeton (NJ),Princeton University Library,https://gitlab.com/pulibrary
US,San Francisco / Oakland (CA),California College of the Arts,https://gitlab.com/cca
US,Sleepy Hollow (NY),Rockefeller Archive Center,https://gitlab.com/RockefellerArchiveCenter
